ユーザー名,表示名,業種,備考
"gokurakuyu_tomiya","極楽湯 富谷店","サウナ・温浴施設","HP: https://www.gokurakuyu.ne.jp/tempo/tomiya/index.html"
"akiu_fuga","秋保風雅","サウナ・温浴施設","HP: https://relohotels.com/akiu-fuga/"
"yuppo1038","ゆっぽとみや大清水","サウナ・温浴施設","HP: http://yuppo-tomiya.com/"
"dormyinn.official","天然温泉 萩の湯 ドーミーイン仙台駅前","サウナ・温浴施設","HP: http://www.hotespa.net/hotels/sendai_eki/"
"hotelmonterey","ホテルモントレ仙台 サラ・テレナ","サウナ・温浴施設","HP: https://www.hotelmonterey.co.jp/sendai/spa/"
"richmondhotel_sendai","リッチモンドホテル仙台","サウナ・温浴施設","HP: https://richmondhotel.jp/sendai/?utm_source=GGL&amp;utm_medium=GBP&amp;utm_campaign=Canly"
"kaorinoyu","ひまわり温泉 花おりの湯","サウナ・温浴施設","HP: http://kaorinoyu.com/"
"akiugrandhotel","秋保グランドホテル","サウナ・温浴施設","HP: https://www.akiugrand.com/"
"tennenonsen.iiyu","おおがわら天然温泉 いい湯","サウナ・温浴施設","HP: http://www.eeyu.jp/"
"tenpyou.mayohime","わくや天平の湯","サウナ・温浴施設","HP: http://tenpyou.com/"
"yakurairesort","保養センターやくらい薬師の湯","サウナ・温浴施設","HP: https://kami-tabi.com/facility/195/"
"matsushima_ichinobo","松島 一の坊","サウナ・温浴施設","HP: https://www.ichinobo.com/matsushima/"
"ichinobo.official","ゆと森倶楽部","サウナ・温浴施設","HP: https://www.ichinobo.com/yutomori/"
"dormyinn.official","ドーミーインEXPRESS仙台広瀬通","サウナ・温浴施設","HP: http://www.hotespa.net/hotels/sendai/"
"minamisanriku_kanyo","南三陸ホテル観洋","サウナ・温浴施設","HP: http://www.mkanyo.jp/"
"kesennuma_plaza","気仙沼プラザホテル","サウナ・温浴施設","HP: http://www.pkanyo.jp/"
"akiu_mitoya","ホテルニュー水戸屋","サウナ・温浴施設","HP: http://www.mitoya-group.co.jp/"
"kinmokusei.kesennuma","気仙沼の宿 金木犀","サウナ・温浴施設","HP: https://kesennuma-kinmokusei.jp/"
"onsensansou_daikonnohana","温泉山荘 だいこんの花","サウナ・温浴施設","HP: https://www.daikon-no-hana.com/"
"akiu_hananoyu","ホテル華乃湯","サウナ・温浴施設","HP: http://www.hananoyu.com/"
