ユーザー名,表示名,業種,備考
"coganoi","白浜 古賀の井リゾート&スパ","サウナ・温浴施設","HP: http://www.coganoi.jp/"
"mercure_wakayama_kushimoto","メルキュール和歌山串本リゾート&スパ","サウナ・温浴施設","HP: https://mercure-wakayamakushimoto-resortandspa.jp/"
"hotelharvest_nankitanabe","東急ハーヴェストクラブ南紀田辺(ホテルハーヴェスト南紀田辺)","サウナ・温浴施設","HP: http://www.resorthotels109.com/nankitanabe/"
"kurhouseshirahama","クアハウス白浜","サウナ・温浴施設","HP: http://kurhouse-shirahama.or.jp/"
"all.accor","グランドメルキュール和歌山みなべ","サウナ・温浴施設","HP: https://all.accor.com/lien_externe.svlt?goto=fiche_hotel&amp;code_hotel=C1Q5&amp;merchantid=seo-maps-Japan-C1Q5&amp;sourceid=aw-cen&amp;utm_medium=seo%20maps&amp;utm_source=google%20Maps&amp;utm_campaign=seo%20maps"
"crystalvilla_shirahama","クリスタルヴィラ白浜","サウナ・温浴施設","HP: https://crystalvilla.jp/shirahama/"
"fivespringresort_theshirahama","FIVE SPRING RESORT THE SHIRAHAMA","サウナ・温浴施設","HP: http://fivehotel-shirahama.com/"
"yudokoro.murobe","湯処むろべ","サウナ・温浴施設","HP: http://www.murobe.jp/"
"nankishirahamagc","南紀白浜リゾートホテル","サウナ・温浴施設","HP: https://www.nankishirahama-golfclub.com/"
"willinghotels","アンジェリーク","サウナ・温浴施設","HP: https://willing-hold.co.jp/hotels/angelique-iwade/"
"marineq.inami","MARINE-Q","サウナ・温浴施設","HP: http://marine-q.com/"
"marineq.inami","MARINE-Qコテージ楠井港","サウナ・温浴施設","HP: https://marine-q.com/"
"higaerionsen.ocean","日帰り温泉オーシャン","サウナ・温浴施設","HP: http://www.ocean-g.com/"
"dormyinn.official","天然温泉 夕凪の湯 御宿 野乃境港","サウナ・温浴施設","HP: https://www.hotespa.net/hotels/sakaiminato/"
"tottori.pokapoka","鳥取ぽかぽか温泉","サウナ・温浴施設","HP: http://www.souyu.co.jp/tottori/index.php"
"26ouland","おーゆ・ランド(おーゆ・ホテル)","サウナ・温浴施設","HP: http://www.ou-kaike.co.jp/"
"kaike_hotel","皆生温泉 汐の湯","サウナ・温浴施設","HP: http://kaikehotel.com/onsen/"
"yudaniso_sauna","湯谷荘","サウナ・温浴施設","HP: https://www.nkt-tv.co.jp/plan/entry/26167.html"
"fbi_daisen","FBI DAISEN","サウナ・温浴施設","HP: http://www.fbi-camping.com/daisen/"
"yumeikan_sekigane","関金温泉 せきがね湯命館","サウナ・温浴施設","HP: http://www.yumeikan.com/"
"kasuitei","華水亭","サウナ・温浴施設","HP: https://www.kaike-grandhotel.co.jp/kasuitei/"
"___furaha","FURAHA","サウナ・温浴施設","HP: https://furaha-coccara.com/"
"granlake_tottori_","GRAN LAKE TOTTORI 【グランレイク鳥取】","サウナ・温浴施設","HP: https://www.lakesideglamping-tottori.com/"
"mercure_tottori_daisen","メルキュール鳥取大山リゾート&スパ","サウナ・温浴施設","HP: https://mercure-tottoridaisen-resortandspa.jp/"
"iwadobase","IWADO BASE","サウナ・温浴施設","HP: https://iwadobase.jp/"
"hawaionsenbokoro","望湖楼","サウナ・温浴施設","HP: http://www.bokoro.com/"
"hotel_resh","ホテルレッシュ 鳥取駅前","サウナ・温浴施設","HP: http://www.resh.jp/"
"kaikefuga","皆生風雅","サウナ・温浴施設","HP: https://www.kaike-fuga.com/?utm_source=google&amp;utm_medium=google_map&amp;utm_campaign=t_web_kaike"
"ryokanohashi","鳥取県三朝温泉 旅館大橋","サウナ・温浴施設","HP: http://www.o-hashi.net/"
"kaikegrandhotel","皆生グランドホテル 天水","サウナ・温浴施設","HP: https://www.kaike-grandhotel.co.jp/tensui/"
"kurayoshi.cityhotel","倉吉シティホテル","サウナ・温浴施設","HP: http://www.kc-hotel.com/"
"kaigyokutei_megumi","皆玉邸 恵-MEGUMI-","サウナ・温浴施設","HP: https://www.kaigyokutei.com/megumi/"
"shikisou_sauna","四季荘","サウナ・温浴施設","HP: https://shikisou.com/"
"centurionofficial","サウナリゾートオリエンタル出雲(センチュリオンホテル&スパ クラシック出雲)","サウナ・温浴施設","HP: https://www.centurion-hotel.com/izumo/"
"hotelthecliff","IZUMO HOTEL THE CLIFF","サウナ・温浴施設","HP: https://hotel-the-cliff.jp/"
"dormyinn.official","天然温泉 だんだんの湯 御宿 野乃松江","サウナ・温浴施設","HP: https://www.hotespa.net/hotels/nono_matsue/"
"dormyinn.official","八雲の湯 ドーミーイン出雲","サウナ・温浴施設","HP: http://www.hotespa.net/hotels/inn_izumo/"
"hotelichibata.official","ホテル一畑","サウナ・温浴施設","HP: https://hotel.ichibata.co.jp/"
"mascoshotel","MASCOS HOTEL","サウナ・温浴施設","HP: http://mascoshotel.com/"
"dormyinn.official","天然温泉三刀屋の湯 ドーミーインEXPRESS出雲の國 雲南","サウナ・温浴施設","HP: https://dormy-hotels.com/dormyinn/hotels/unnan/"
"mizuho_highland","瑞穂ハイランド","サウナ・温浴施設","HP: https://www.mizuhohighland.com/price/sauna/"
"yutorelo_tsuwano","ゆとりろ津和野","サウナ・温浴施設","HP: https://yutorelo-tsuwano.com/"
"dormyinn.official","いにしえの宿 佳雲","サウナ・温浴施設","HP: https://www.hotespa.net/hotels/izumo/keiun/"
"richgarden.izumo","サウナ・オアシス (ホテル リッチガーデン)","サウナ・温浴施設","HP: http://www.richgarden.com/index.html"
"iwamiwineryhotel","石見ワイナリーホテル美郷","サウナ・温浴施設","HP: https://hotel.iwamiwinery.com/"
"marine_thalasso_izumo","マリンタラソ出雲","サウナ・温浴施設","HP: http://www.talaso-izumo.jp/"
"tamatsukuri_matsunoyu","松乃湯","サウナ・温浴施設","HP: http://matsunoyu.jp/"
"seiranso","清嵐荘 温泉・テントサウナ","サウナ・温浴施設","HP: https://www.seiranso.jp/"
"dormyinn.official","お宿 月夜のうさぎ","サウナ・温浴施設","HP: http://www.hotespa.net/hotels/izumo/usagi/"
"notsuryokan","野津旅館","サウナ・温浴施設","HP: https://www.notsuryokan.jp/"
"tamatsukuri_hotelgyokusen","ホテル玉泉","サウナ・温浴施設","HP: http://www.hotel-gyokusen.co.jp/"
"kouboku_park","いわみ温泉霧の湯","サウナ・温浴施設","HP: https://kouboku.sakuraline.org/"
"izumo_tamatsukuri_siraisiya","白石家","サウナ・温浴施設","HP: http://www.siraisiya.com/"
"ryokan_oqoq_tamatsukuri","玉井別館","サウナ・温浴施設","HP: http://www.tamaikan.com/"
"golden_yutopia_ochi","ステイ スイムアンドテニス美郷(ゴールデンユートピアおおち)","サウナ・温浴施設","HP: https://hpdsp.jp/utopia-iwami/"
"garb_izumo","WINDY FARM ATMOSPHERE","サウナ・温浴施設","HP: https://windyfarm.jp/"
"186haza","186.Haza","サウナ・温浴施設","HP: https://186-haza.com/"
"jizakenet","隠岐温泉GOKA","サウナ・温浴施設","HP: https://xn--bww52a.biz/introduce/oki_onsen_goka/"
"fuu_sauna","浮サウナ(fuu sauna)","サウナ・温浴施設","HP: https://www.fuusauna.com/"
"sauna_kolme_kyla","sauna kolme kylä (サウナ コルメ キュラ)","サウナ・温浴施設","HP: https://sauna-kolme-kyla.jp/"
"seto.spa","瀬戸大橋スパリゾート","サウナ・温浴施設","HP: http://www.setoohashi.net/"
"kobatoisa_cafe","kobatoisa cafe&sauna","サウナ・温浴施設","HP: https://kobatoisa.jp/"
"thetanadasauna","THE TANADA SAUNA","サウナ・温浴施設","HP: https://www.tanadasauna.jp/"
"s.yamakou","瀬戸大橋温泉 やま幸","サウナ・温浴施設","HP: https://www.s-yamakou.co.jp/"
"hanabijinnosato","奥津温泉 花美人の里","サウナ・温浴施設","HP: http://www.hanabijin.co.jp/"
"okcs_keirinhotel10","KEIRIN HOTEL 10","サウナ・温浴施設","HP: https://keirin-hotel10.com/"
"kibiji_sunroad","国民宿舎 サンロード吉備路","サウナ・温浴施設","HP: http://www.sunroad-kibiji.com/"
"momotaro_hotel","岡山桃太郎温泉","サウナ・温浴施設","HP: http://momotaro-hotel.co.jp/"
"dormyinn.official","阿智の湯 ドーミーイン倉敷","サウナ・温浴施設","HP: https://dormy-hotels.com/dormyinn/hotels/kurashiki/"
"hiruzenkaiyukan","蒜山やつか温泉快湯館","サウナ・温浴施設","HP: http://www.kaiyukan.co.jp/"
"wandarburu","わんだぶる","サウナ・温浴施設","HP: https://wandaburu.com/"
"unkai_onsen","大芦高原温泉 雲海","サウナ・温浴施設","HP: http://unkai.city.mimasaka.lg.jp/"
"motoyu_awakuraonsen","あわくら温泉元湯","サウナ・温浴施設","HP: http://motoyu.asia/"
"sugaitei_shinjo","滝つぼテントサウナ@新庄宿 須貝邸","サウナ・温浴施設","HP: https://sugaitei.jp/"
"diy_jp_channel55","JP HOUSE obusa","サウナ・温浴施設","HP: https://jp-house.site/"
"__yaora__","yaora (Hotel & Bar クオーレ倉敷内)","サウナ・温浴施設","HP: http://yaora-kurashiki.com/"
"suntopiaokayamasoja","サントピア岡山総社","サウナ・温浴施設","HP: http://suntopia-okayama-soja.com/"
"setouchi_marinehotel_official","ダイヤモンド瀬戸内マリンホテル","サウナ・温浴施設","HP: http://www.marine-hotel.co.jp/"
"shio_yeol98","レスパール藤ヶ鳴","サウナ・温浴施設","HP: http://www.resparle.jp/"
"yunogo_grand_hotel","湯郷グランドホテル","サウナ・温浴施設","HP: http://www.yunogo.co.jp/"
"resortinyunogo","リゾートイン湯郷","サウナ・温浴施設","HP: http://resortinnyunogo.jp/"
"kenkouplaza_saidaiji","健幸プラザ西大寺","サウナ・温浴施設","HP: https://www.kenko-plaza.net/"
"bvc.group","ホテルMOZ","サウナ・温浴施設","HP: https://www.bvcgroup-moz.com/?utm_source=GMB&amp;utm_medium=banner&amp;utm_campaign=GMB_shopdata"
"okayamainternationalhotel","岡山国際ホテル","サウナ・温浴施設","HP: https://www.okayamakokusaihotel.jp/"
"poppysprings_resort_and_spa","ポピースプリングス リゾート&スパ","サウナ・温浴施設","HP: http://www.poppy.co.jp/"
"restayhotels","レステイ岡山","サウナ・温浴施設","HP: https://www.restayhotels.com/detail/223#top"
"universalhotels_official","岡山ユニバーサルホテル第二別館","サウナ・温浴施設","HP: http://www.universal-group.co.jp/"
"spaseare.gion_slc","スパシーレ祇園","サウナ・温浴施設","HP: https://spaseare-gion.jp/"
"seare_slc","アジアンリゾートスパ  シーレ","サウナ・温浴施設","HP: http://seare.jp/"
"hattori_field","山の中のバレルサウナ｢Tramonto｣","サウナ・温浴施設","HP: http://hattori-field.com/"
"gurannoyu","神辺天然温泉 ぐらんの湯","サウナ・温浴施設","HP: http://grannoyu.com/"
"dormyinn.official","天然温泉 芸州の湯 ドーミーイン広島ANNEX","サウナ・温浴施設","HP: https://www.hotespa.net/hotels/hiroshima_ax/"
"supersento1126","安芸の湯","サウナ・温浴施設","HP: https://www.supersento.com/chugoku/hiroshima/awa.html"
"takamiyayunomori","たかみや湯の森","サウナ・温浴施設","HP: http://www.yunomori.net/"
"yuki_experience","広島市湯来交流体験センター","サウナ・温浴施設","HP: https://yuki-kouryu.jp/"
"sauna_meri","宿NAVELの学校(海岸沿いの貸切棟Hanare - sauna meri Kosagi-jima)","サウナ・温浴施設","HP: https://sauna-meri.com/jp/"
"benimansaku_no_yu","天然温泉 宮浜 べにまんさくの湯","サウナ・温浴施設","HP: http://www.benimansaku.jp/"
"kimita_onsen","君田温泉森の泉","サウナ・温浴施設","HP: https://kimitaonsen.com/"
"miyajima_wakura","グランヴィリオホテル宮島 和蔵","サウナ・温浴施設","HP: https://www.grandvrio-hotelresort.com/miyajima/"
"fureai_no_sato","尾道ふれあいの里","サウナ・温浴施設","HP: http://www.onomichi-radon-onsen.co.jp/"
"candeo_hotels","カンデオホテルズ福山","サウナ・温浴施設","HP: https://www.candeohotels.com/fukuyama/"
"areaone_hiroshimawing","ホテルエリアワン広島ウィング","サウナ・温浴施設","HP: http://www.hotel-areaone.com/hiroshimawing/"
"yuki_lodge0621","国民宿舎 湯来ロッジ","サウナ・温浴施設","HP: http://www.yuki-lodge.jp/"
"yokogawa_gaikoku","Holiday In The Sun テントサウナ","サウナ・温浴施設","HP: https://sites.google.com/view/holiday-in-the-sun/"
"hiroshima_kita_hotel","広島北ホテル","サウナ・温浴施設","HP: http://www.h-kitahotel.jp/"
"kamogawaso","ホテル賀茂川荘","サウナ・温浴施設","HP: https://kamogawaso.co.jp"
"aki_grand_hotel","安芸グランドホテル","サウナ・温浴施設","HP: http://www.akigh.co.jp/"
"gateauxkingdom_setouchi","シャトレーゼ ガトーキングダム せとうち","サウナ・温浴施設","HP: https://setouchi.gateauxkingdom.com/"
"hotelofutei","ホテル鴎風亭","サウナ・温浴施設","HP: https://www.ofutei.com/"
"rairin_hiroshima","来臨","サウナ・温浴施設","HP: https://rairin.com/"
"hoteldaikoen","ホテル大広苑","サウナ・温浴施設","HP: http://daikoen.com/"
"cycleguesthouseshiokaze","サイクルゲストハウス汐風","サウナ・温浴施設","HP: https://cycle-gh.com/"
"azaleachiyoda","アザレア千代田","サウナ・温浴施設","HP: http://azaleachiyoda.com/"
"kandasansou","神田山荘","サウナ・温浴施設","HP: http://www.kandasansou.jp/index.html"
"mourimaru_hanaikada","エルベ別館2","サウナ・温浴施設","HP: https://miyajima-hanaikada.com/"
"mourimaru_hanaikada","エルベ 別館1","サウナ・温浴施設","HP: https://miyajima-hanaikada.com/"
"takanosu.jp","鷹の巣ゴルフクラブ","サウナ・温浴施設","HP: https://www.takanosu.co.jp/"
"boku_oyooooo","宇部サウナセンター","サウナ・温浴施設","HP: https://bokuoyo.com/"
"toyotahotaru241","西ノ市温泉 蛍の湯(ホタルサウナ)","サウナ・温浴施設","HP: https://toyota-hotaru.com/"
"warakunoyu","天然温泉 和楽の湯 下関せいりゅう","サウナ・温浴施設","HP: http://warakunoyu.jp/"
"vie.tokuji.sauna","VIEHÄttÄVÄ ヴィエハッタヴァ","サウナ・温浴施設","HP: https://viehattava.com"
"michishio_kaijiru","天然温泉みちしお","サウナ・温浴施設","HP: http://www.michishio.com/spa/"
"otanisanso_ryokan_official","大谷山荘","サウナ・温浴施設","HP: http://www.otanisanso.co.jp/"
"soil_nagatoyumoto","SOIL Nagatoyumoto","サウナ・温浴施設","HP: https://soilis.co/new/nagatoyumoto/"
"kawatanaotafuku","川棚グランドホテル お多福","サウナ・温浴施設","HP: http://www.kgh-otafuku.co.jp/"
"sauna_ikitai","おんせんの森 (旧 温泉の森)","サウナ・温浴施設","HP: https://sauna-ikitai.com/saunas/3577"
"houzanen","湯野温泉 芳山園 芳和の湯","サウナ・温浴施設","HP: https://www.houzanen.com/?utm_source=mybusiness&amp;utm_medium=maps"
"ryuzakionsenchidori","竜崎温泉ちどり 潮風の湯","サウナ・温浴施設","HP: http://ryuzakionsen.info/"
"wix","楠こもれびの郷 くすのき温泉 くすくすの湯","サウナ・温浴施設","HP: http://www.komorebinosato.net/"
"kamefuku_on_place","かめ福オンプレイス ふくふくの湯(お宿Onn)","サウナ・温浴施設","HP: https://kamefuku.com/onsen/"
"oojou_kasadojima","国民宿舎 大城","サウナ・温浴施設","HP: http://www.oojou.jp/"
"setonoututu_official","セトノウツツ","サウナ・温浴施設","HP: http://setonoututu.jp/"
"kaikyoview.shimonoseki","国民宿舎 海峡ビューしものせき","サウナ・温浴施設","HP: https://www.kv-shimonoseki.com/"
"yokikan_okafuji","油谷湾温泉 ホテル楊貴館","サウナ・温浴施設","HP: http://www.hotelyokikan.jp/"
"iwakunikankohotel","いつつばしの里 (岩国国際観光ホテル)","サウナ・温浴施設","HP: https://www.iwakunikankohotel.co.jp/onsen/"
"michinoekiabu","道の駅阿武町 日本海温泉 鹿島の湯","サウナ・温浴施設","HP: http://www.abucreation.com/facilities/onsen/"
"iroritokoro_nabeya","テントサウナ UTANO","サウナ・温浴施設","HP: https://www.nabeya-sake.com/"
"centcore","セントコア山口","サウナ・温浴施設","HP: http://www.centcore.com/"
"route_inn_hotels","ホテルルートイン山口 湯田温泉","サウナ・温浴施設","HP: https://www.route-inn.co.jp/hotel_list/yamaguchi/index_hotel_id_672/"
"matsumasa_ublhotel.yamaguchi","湯田温泉ユウベルホテル松政","サウナ・温浴施設","HP: http://www.matsumasa.jp/"
"marissa_resort","マリッサリゾート サザンセト周防大島","サウナ・温浴施設","HP: http://www.sunshine-jp.com/"
"sketchfab","0-base","サウナ・温浴施設","HP: https://skfb.ly/oS6Cq"
"kamenoihotel_setouchihikari","亀の井ホテル せとうち光(旧かんぽの宿 光)","サウナ・温浴施設","HP: https://kamenoi-hotels.com/setouchihikari/"
"cocoland_ube","ココランド スポーツ&リゾート","サウナ・温浴施設","HP: http://www.cocoland.co.jp/"
"genpeisou","関門の宿 源平荘","サウナ・温浴施設","HP: http://www.genpei-sou.com/"
"yamamurabekkan","山村別館","サウナ・温浴施設","HP: http://www.y-bekkan.jp/"
"ebisunoyu_tokushima_onsen","天然温泉えびすの湯","サウナ・温浴施設","HP: http://www.ebisunoyu.com/"
"kuogreenvillage","Kuo Green Village","サウナ・温浴施設","HP: http://kuogreenvillage.com"
"yoshinogawa_oasis","美濃田の湯","サウナ・温浴施設","HP: http://www.yoshinogawa-oasis.com/"
"kamiyma_spa","神山温泉ホテル四季の里&いやしの湯","サウナ・温浴施設","HP: https://kamiyama-spa.com/"
"hikyounoyu","祖谷渓温泉 ホテル秘境の湯","サウナ・温浴施設","HP: http://www.hotel-hikyounoyu.co.jp/"
"obokeonsen","サンリバー大歩危","サウナ・温浴施設","HP: http://www.oobokeonsen.jp/"
"aratae_komatsushima","湯処あらたえ 小松島店","サウナ・温浴施設","HP: http://aratae.jp/komatsushima/"
"tokushima_awanavi","紅葉温泉","サウナ・温浴施設","HP: https://www.awanavi.jp/spot/21403.html"
"tsurugiclub","剣山木綿麻温泉","サウナ・温浴施設","HP: http://www.town.tokushima-tsurugi.lg.jp/docs/3467.html"
"tsukinoyado","月ケ谷温泉・月の宿","サウナ・温浴施設","HP: http://www.e-kamikatsu.jp/"
"hibikidou_cafe","スマイルホテル阿南(旧ホテルサンオーシャン)","サウナ・温浴施設","HP: https://smile-hotels.com/hotels/show/anan"
"hanazean_","山宿 花瀬庵&Bar the KURA(蔵)","サウナ・温浴施設","HP: https://www.hanazean.com/"
"awakan01","阿波観光ホテル","サウナ・温浴施設","HP: http://www.awakan.jp/"
"sauna_ikitai","レステイDEE","サウナ・温浴施設","HP: https://sauna-ikitai.com/saunas/10463"
"sauna_ikitai","ふれあい健康館","サウナ・温浴施設","HP: https://sauna-ikitai.com/saunas/93439"
"sauna_ikitai","レステイ徳島アイネ","サウナ・温浴施設","HP: https://sauna-ikitai.com/saunas/31202"
"sauna_ikitai","四季芳る 美郷の湯","サウナ・温浴施設","HP: https://sauna-ikitai.com/saunas/112360"
"sauna_ikitai","Jクラシックゴルフクラブ","サウナ・温浴施設","HP: https://sauna-ikitai.com/saunas/12371"
"kirara_hotspring","天然温泉きらら","サウナ・温浴施設","HP: http://www.kiraraonsen.com/"
"chichibugahama_port","父母ヶ浜絶景浴サウナ","サウナ・温浴施設","HP: https://www.zekkei-sauna.com/"
"olive_pk","サン・オリーブ温泉 (小豆島オリーブ公園)","サウナ・温浴施設","HP: http://www.olive-pk.jp/map/sunolive.html"
"takase.tennen.onsen","たかせ天然温泉","サウナ・温浴施設","HP: http://www.souyu.co.jp/takase/"
"dormyinn.official","玉藻の湯 ドーミーイン高松中央公園前","サウナ・温浴施設","HP: https://www.hotespa.net/hotels/chuotakamatsu/"
"epiamikado","エピアみかど","サウナ・温浴施設","HP: http://e-mikado.jp/"
"dormyinn.official","ことひら温泉 御宿 敷島館","サウナ・温浴施設","HP: https://www.hotespa.net/hotels/shikishimakan/"
"takaradanosato","たからだの里環の湯","サウナ・温浴施設","HP: http://www.takaradanosato.co.jp/hp/"
"editxseven_hotels","edit x seven 瀬戸内小豆島","サウナ・温浴施設","HP: https://editxseven.com/setouchi-shodoshima/"
"hotelnewawaji","湯山荘 阿讃琴南","サウナ・温浴施設","HP: http://www.asankotonami.com/"
"spa_kameria","門入カメリア温泉","サウナ・温浴施設","HP: https://spa-kameria.com/"
"jumbo_ferry","りつりん2 (ジャンボフェリー)","サウナ・温浴施設","HP: https://shoudoshima-ferry.co.jp/"
"sekisyukan","積修館 -泊Rutto","サウナ・温浴施設","HP: https://sekisyukan.com/"
"koubaitei.hananoyu","湯元こんぴら温泉華の湯 紅梅亭","サウナ・温浴施設","HP: https://www.koubaitei.jp/"
"utazugrandhotel","宇多津グランドホテル","サウナ・温浴施設","HP: https://utazu.sakaide-grandhotel.jp/"
"hotelnewawaji","こんぴら温泉 琴平花壇","サウナ・温浴施設","HP: https://www.kotohira-kadan.jp/"
"apahotel_official","アパホテル 高松空港","サウナ・温浴施設","HP: https://www.apahotel.com/hotel/shikoku/01_takamatsukuko-grand/"
"naoshima.habitant","MY LODGE Naoshima","サウナ・温浴施設","HP: https://mylodge-naoshima.com/"
"hanajyukai_","夕凪の湯HOTEL 花樹海","サウナ・温浴施設","HP: http://www.hanajyukai.jp/"
"thelantown.higashikagawa","ザランタン東かがわ","サウナ・温浴施設","HP: https://glampicks.jp/glamping/g269/official/"
"aki.ya.to","AKIYATO Sei-Jima Retreat","サウナ・温浴施設","HP: https://a-to.world/hotels/akiyato-sei-jima-retreat/"
"hotelo.setouchi_official","Hotel O. Setouchi","サウナ・温浴施設","HP: https://www.hotelo.jp/"
"sakaidecc","坂出カントリークラブ","サウナ・温浴施設","HP: https://sakaide-cc.com/"
"kisukenoyu","伊予の湯治場 喜助の湯","サウナ・温浴施設","HP: http://www.kisuke.com/yu-matsuyama/"
"h_soratomori","東道後のそらともり","サウナ・温浴施設","HP: http://www.soratomori.com/"
"kisuke_no_yu","しまなみ温泉 喜助の湯","サウナ・温浴施設","HP: http://kisuke.com/yu-imabari/"
"riraku.onsen","見奈良天然温泉 利楽","サウナ・温浴施設","HP: http://www.spa-riraku.com/"
"kumenoyu","東道後温泉 久米之癒","サウナ・温浴施設","HP: http://www.kumenoyu.com/"
"dormyinn.official","石手の湯 ドーミーイン松山","サウナ・温浴施設","HP: https://www.hotespa.net/hotels/matsuyama/"
"minetopia_official","別子温泉〜天空の湯〜","サウナ・温浴施設","HP: https://besshi.com/besshionsentenkunoyu/"
"candeo_hotels","カンデオホテルズ松山大街道","サウナ・温浴施設","HP: https://www.candeohotels.com/ja/ehime-matsuyama/skyspa/"
"17841449361559976","道後さや天然温泉ゆらら","サウナ・温浴施設","HP: https://onsen-yurara.jp/"
"sakuranoyu.toon","東温市ふるさと交流館さくらの湯","サウナ・温浴施設","HP: https://www.souyu.co.jp/shisetsu/sakura"
"inlandsearesortfespa","インランド・シー・リゾート フェスパ","サウナ・温浴施設","HP: https://fespa-yumeshima.jp/"
"kamegaikeonsen","伊方町健康交流施設 亀ヶ池温泉","サウナ・温浴施設","HP: http://www.kamegaike.com/"
"hotellepo","HOTEL LEPO CHAHAL","サウナ・温浴施設","HP: https://hotel-lepo.jp/"
"hondanionsenkan","本谷温泉館","サウナ・温浴施設","HP: http://www.hondani-onsen.com/"
"housenbou_2005","宝泉坊温泉(クアテルメ宝泉坊)","サウナ・温浴施設","HP: https://www.housenbou.net/"
"riversidelodge.morinokuni","水際のロッジ","サウナ・温浴施設","HP: https://morino-kuni.com/riverside-lodge/"
"dogoyamanote","道後山の手ホテル","サウナ・温浴施設","HP: http://www.dogo-yamanote.com/"
"kondoke_ehime","瀧乃元 近藤家","サウナ・温浴施設","HP: http://kondoke.yours-llc.net/"
"iyo_princehotel","天然の湯いよ温泉(いよプリンスホテル)","サウナ・温浴施設","HP: http://iyoprince.com/iyo_onsen.html"
"yuunosato.onsen","游の里温泉(ユートピア宇和)","サウナ・温浴施設","HP: https://yutopiauwa.com/"
"dogo_funaya","道後温泉ふなや","サウナ・温浴施設","HP: http://www.dogo-funaya.co.jp/"
"shikinoyu.beer","湯ノ浦温泉四季の湯ビア工房","サウナ・温浴施設","HP: https://yunoura-shikinoyu.jp/"
"hoteltaihei","ホテル泰平","サウナ・温浴施設","HP: http://www.hoteltaihei.co.jp"
"imabari_kokusai_hotel","今治国際ホテル","サウナ・温浴施設","HP: https://www.imabari-kokusai-hotel.co.jp"
"dogoprincehotel","道後プリンスホテル","サウナ・温浴施設","HP: http://www.dogoprince.co.jp/"
"campa_akehama","西予市観光交流拠点施設あけはまーれ","サウナ・温浴施設","HP: https://akehama.com/lodging/akehama-re/"
"welpiaiyo","ウェルピア伊予","サウナ・温浴施設","HP: https://welpiaiyo.jp/"
"kkr_dogo_yuduki","KKR道後ゆづき","サウナ・温浴施設","HP: http://www.kkrdogo.jp/"
"sunsethills_cc","サンセットヒルズカントリークラブ","サウナ・温浴施設","HP: http://www.sunsethills.co.jp/"
"nakayamaflowerhouse","花の森ホテル","サウナ・温浴施設","HP: http://www.hananomori-h.com/"
"himewakonoyu.kochi","土佐望月温泉 姫若子の湯","サウナ・温浴施設","HP: https://himewako.jp/"
"kouchipokapoka","高知ぽかぽか温泉","サウナ・温浴施設","HP: http://www.souyu.co.jp/kouchi/index.php"
"konokaonsen","木の香温泉","サウナ・温浴施設","HP: https://konokaonsen.com/"
"dormyinn.official","紺碧の湯 ドーミーイン高知","サウナ・温浴施設","HP: https://www.hotespa.net/hotels/kochi/"
"private_sauna__fuga","プライベートサウナ fu-ga","サウナ・温浴施設","HP: https://yasuikeikokufu-ga.com/"
"omo_hotels","OMO7高知 by 星野リゾート","サウナ・温浴施設","HP: https://www.hoshinoresorts.com/resortsandhotels/omobeb/omo/7kochi.html"
"tosapokapoka","土佐ぽかぽか温泉","サウナ・温浴施設","HP: https://www.pokaon-tosa.com/"
"searest6610","シレストむろと","サウナ・温浴施設","HP: http://www.searest.jp/"
"auberge_tosayama","オーベルジュ土佐山","サウナ・温浴施設","HP: http://www.orienthotel.jp/tosayama/"
"harunonoyu","天然温泉 はるのの湯","サウナ・温浴施設","HP: http://www.harunonoyu.co.jp/"
"k_honjin","鰹乃國の湯宿 黒潮本陣","サウナ・温浴施設","HP: http://honjin.or.jp/"
"shimantonoyado_official","四万十いやしの里","サウナ・温浴施設","HP: http://www.shimantonoyado.co.jp/%E5%9B%9B%E4%B8%87%E5%8D%81%E3%81%84%E3%82%84%E3%81%97%E3%81%AE%E9%87%8C/"
"nakatu.yunomori","中津渓谷 ゆの森","サウナ・温浴施設","HP: https://www.yunomori.jp"
"sukumo.yashi","宿毛リゾート 椰子の湯","サウナ・温浴施設","HP: http://yashinoyu.com/"
"hotel_tosagyoen","土佐御苑","サウナ・温浴施設","HP: https://www.tosagyoen.co.jp/"
"ashizuri.thermae","アシズリテルメ","サウナ・温浴施設","HP: https://ashizurithermae.jp"
"atshimanto","四国霊場第37番札所 岩本寺","サウナ・温浴施設","HP: https://at40010.jp/syukubo/サウナ付客室プラン/"
"mercure_kochi_tosa","メルキュール高知土佐リゾート&スパ(旧ロイヤルホテル 土佐)","サウナ・温浴施設","HP: https://mercure-kochitosa-resortandspa.jp/"
"ryokan_jyoseikan","城西館","サウナ・温浴施設","HP: http://www.jyoseikan.co.jp/"
"ryugaonsen_official","龍河温泉","サウナ・温浴施設","HP: http://www.ryugaonsen.com/"
"themana_village_","TheMana Village(足摺パシフィックホテル花椿) スイート","サウナ・温浴施設","HP: https://themanavillage.com/"
"restayhotels","レステイ高知","サウナ・温浴施設","HP: https://www.restayhotels.com/detail/231#top"
"hoteltamai2111","ホテルTAMAI","サウナ・温浴施設","HP: https://hotel-tamai.net/"
"wellbe_jp","ウェルビー福岡","サウナ・温浴施設","HP: https://www.wellbe.co.jp/fukuoka/"
"namiha_bayside","みなと温泉 波葉の湯","サウナ・温浴施設","HP: https://namiha.jp/"
